query,relevant_product_ids
ombre rug,82|83|84|85|86|87|88|89|90|91|92|93|94|262|263|264|265|266|267|268|269|270|271|272|273|274|275|276|349|498|569|575|738|739|766|772|778|791|798|851|868|916|1328|1377|1505|1711|1762|1763|1764|1768|1769|1772|1779|1780|1803|1826|1861|1876|1890|1924|1925|1938|1940|2127|2128|2129|2130|2131|2132|2133|2134|2135|2136|2157|2158|2159|2160|2161|2162|2163|2164|2317|2318|2319|2446|2447|2534|2548|2558|2559|2560|2561|2573|2598|2599|2606|2618|2619|2660|2662|2676|2742|2839|3131|3132|3133|3134|3135|3136|3137|3138|3139|3140|3141|3238|3253|3263|3285|3356|3376|3377|3379|3383|3409|3457|3467|3582|3589|3656|3661|3683|3835|3856|3857|3858|3859|3860|3861|3884|3885|3957|3958|3959|3960|3961|4020|4021|4022|4023|4024|4025|4088|4089|4090|4092|4095|4096|4097|4098|4099|4100|4101|4102|4106|4107|4108|4109|4110|4111|4112|4113|4114|4115|4116|4117|4126|4127|4130|4136|4139|4154|4156|4163|4165|4167|4172|4180|4189|4191|4192|4198|4237|4440|4441|4486|4535|4596|4602|4621|4632
large spoon and fork wall decor,117|224|226|333|544|792|802|889|924|931|1354|1784|1831|2156|2206|2207|2210|2212|2488|2489|2627|2687|2688|2754|2759|2760|2834|3250|3269|3270|3361|3380|3381|3407|3483|3517|3532|3536|3669|3763|3869|3873|4378|4381|4382|4401|4617|4668|5036|5044|5045|5096|5110|5111|5114|5196|5288|5299|5418|5440|5441|5442|5443|5444|5445|5446|5448|5449|5656|5725|5917|6250|6251|6252|6254|6258|6259|6295|6298|6308|6674|6675|6969|7154|7164|7287|7632|7653|7654|7655|7732|7820|7875|7876|7877|7878|7879|7923|7946|7954|7956|7957|8268|8301|8776|8777|8778|8988|8990|9238|9239|9414|9603|9653|9655|9657|9659|9660|9661|9662|9663|10030|10279|10989|10990|11028|11029|11030|11090|11298|11306|11321|11322|11361|11362|11425|11426|11487|11511|12109|12125|12400|12401|12403|12485|12961|13011|13012|13022|13029|13426|13472|13730|14250|14251|14252|14272|14275|14289|14290|14456|15235|15236|15619|15620|15622|15623|15706|15864|15865|15866|16102|16868|16883|16884|16952|17325|17326|17327|17328|17329|17359|17467|17470|17475|17684|17685|17808|17809|17845|17882|17932|17943|17974|17975|17977|17980|17981|17982|18111
outdoor privacy wall,5451|5943|5944|7098|8633|8634|11164|12504|12505|12508|12509|12510|12514|12515|12520|12521|16354|16355|22849|22850|22851|22852|22853|22854|22855|22856|22857|22858|22859|25941|27527|29352|29729|29730|29731|30523|34045|36728|36851|36919|36920|36921|37871|40883|40892|41082|41083|42812|42813|42814
beds that have leds,0|13|79|453|454|500|827|845|1000|1010|1012|1014|1052|1055|1057|1061|1063|1067|1068|1069|1085|1091|1100|1103|1123|1132|1251|1252|1258|1282|1284|1287|1288|1289|1290|1293|1340|1442|1443|1444|1445|1457|1472|1502|1569|1684|1749|1759|1862|1880|1892|1907|1908|1922|1943|1945|1949|1959|2325|2551|2564|2566|2568|2595|2609|2611|2616|2621|2622|2664|2785|2821|2848|2972|2973|3063|3064|3081|3082|3088|3098|3099|3100|3104|3107|3109|3128|3163|3424|3530|3865|4052|4053|4054|4056|4248|4270|4271|4332|4333|4335|4337|4338|4347|4349|4353|4681|4734|4736|4737|4738|4784|4788|4793|4799|4800|4871|4910|4924|4969|5000|5001|5003|5004|5015|5016|5017|5021|5022|5023|5027|5028|5030|5032|5033|5041|5046|5047|5051|5053|5054|5056|5057|5058|5060|5061|5065|5066|5067|5075|5139|5256|5264|5267|5268|5271|5272|5273|5274|5275|5281|5306|5455|5459|5478|5510|5522|5523|5525|5528|5534|5564|5679|5684|5685|5688|5689|5691|5693|5694|5704|5706|5710|5712|5799|5892|5900|5901|5918|5946|5949|5951|5952|5961|5963|5988|6008|6021|6093|6220
black 5 drawer dresser by guilford,37|66|81|227|245|374|816|843|870|914|1066|1074|1084|1131|1134|1155|1156|1158|1166|1245|1247|1292|1378|1485|1487|1500|1521|1575|1812|1839|1893|2401|2402|2407|2438|2469|2563|2567|2572|2582|2588|2597|2612|2661|2783|2787|2788|2797|3086|3101|3103|3126|3489|3595|3629|3685|3870|4103|4256|4321|4341|4442|4487|4735|4740|4741|4758|4790|4791|4797|4865|4909|4925|4940|4941|4988|5006|5009|5292|5414|5415|5416|5474|5475|5477|5479|5487|5572|5606|5608|5611|5613|5703|5711|5729|5899|6221|6223|6225|6494|6504|6909|6934|6935|6936|6939|6940|7303|7312|7517|7518|7915|7916|8087|8231|8233|8234|8235|8240|8264|8336|8468|8469|8632|8635|8807|8813|8814|8817|8819|8820|8830|8837|8839|8845|8852|8854|8861|8862|8891|8895|8905|8906|8907|8908|8909|8910|8911|8912|8920|8952|8953|8957|8959|9008|9009|9285|9308|9439|9875|9876|9877|9878|9879|9880|9881|9921|10038|10040|10041|10374|10375|10397|10398|10399|10710|10745|10746|10983|11351|11352|11353|11356|13126|13127|13128|13136|13137|13138|13139|13154|13155|13707|14106|14109|14325|14326|14327|14508|14780
blk 18x18 seat cushions,196|197|198|200|202|203|448|567|570|571|572|810|949|1170|1171|1172|1372|1376|1808|1827|1828|1829|1830|1881|1882|1883|1917|1937|2726|2782|3259|3266|3268|3416|3472|3607|3633|3648|4028|4030|4032|4121|4122|4157|4372|4373|4395|4699|4700|4701|4703|4845|4846|5542|5768|5814|5875|6299|7009|7159|7167|7196|7331|7393|7397|7408|7429|8124|8273|8281|8298|8305|8306|8692|9325|9341|9626|9627|9628|9629|9630|9631|9632|9633|9634|9635|9636|9638|9642|9643|9644|9647|9648|10294|10706|11659|12350|12351|12410|12970|13173|13174|14342|14345|14346|14475|14563|15061|15062|15063|15064|16257|16525|16526|16529|17933|18114|18131|18296|18297|20035|20037|20038|20039|20120|20121|20122|20124|20125|20126|20127|20128|20129|20130|20131|21148|22839|23538|23598|23600|23601|23602|23603|23604|23694|24351|25149|25332|25333|27334|27401|27871|28349|28690|28834|30033|30125|30126|30279|30280|30304|30445|30446|30515|30716|30717|30719|30720|30721|30722|30723|30724|30725|30726|30727|30728|30729|30731|30732|30734|30735|30736|30737|30738|30739|30740|30741|30742|30743|30744|30746|30747|30748|30749|30750|30751|30752|30755|30756|30757
closet storage with zipper,4346|6096|7550|10037|10039|10304|11209|12269|12270|20348|21297|21603|21604|22378|22447|22448|22604|23653|27975|27976|27977|31772|31795|32068|32978|36904|39160|39399|40073|41415
chrome bathroom 4 light vanity light,210|493|552|1886|3305|3640|3642|4392|4393|4406|4408|4448|4594|6373|6474|6721|7296|7297|7367|7984|8190|8191|8280|8739|8976|9287|9469|10259|11688|11689|13259|13686|13687|14281|15071|15073|15815|15839|15889|15890|15892|17286|17430|17491|18660|19013|19632|19659|19660|19661|20079|20088|20572|20573|20574|20582|20684|20685|20774|20775|20776|20777|20778|20779|20780|20781|20885|20886|21157|21158|21165|21625|21628|21629|21630|21631|21909|22589|22590|22779|22934|22940|23697|23698|23709|23859|23961|24061|24246|24365|24607|24652|24729|24915|24953|25048|25049|25050|25051|25069|25071|25075|25197|25329|27299|27301|27302|27642|27884|28685|28686|29225|29226|29287|29400|29415|29469|29470|29471|29476|29528|29531|29573|29739|30081|30854|31160|31333|31336|32076|32244|32417|32459|33899|33900|33901|33902|33903|33904|33905|33906|34699|35319|35320|36097|36142|36178|36247|36306|36308|36309|36310|36331|36448|37063|37064|37065|37287|37336|37338|37524|37528|37878|38159|38314|38558|38559|38560|38682|38834|38835|38875|38876|39514|39516|39581|39641|39687|39700|39927|40123|40125|40181|40182|40183|40229|40230|40231|40232|40454|40459|40684|41033|42016|42018|42394|42407|42690|42965
gurney  slade 56,80|459|460|461|462|463|464|1389|1424|1431|1528|1619|1761|1777|1858|1889|2465|2472|2473|2682|2960|2990|2991|2992|2993|2994|2995|2996|2997|2998|2999|3000|3001|3005|3010|3074|3075|3551|3620|3622|4488|5822|5914|5919|5954|5955|6007|6009|6121|6130|6346|6361|6685|6718|7083|7084|7781|8004|8162|8171|8256|8282|8299|8698|8730|8948|8949|8960|8963|9319|9320|10257|10258|10768|11300|12725|12726|13258|13685|13716|13723|13744|13751|13994|14195|14236|15072|15074|15075|15320|15321|15323|15325|15326|15328|15329|15330|15538|15871|15887|15891|16867|16909|16914|16939|17017|17039|17040|17095|17172|17276|17279|17280|17282|17283|17284|17406|17408|17431|17484|17488|17490|17656|18345|18346|18347|18349|18350|18351|18352|18356|18357|18365|18367|18368|18376|18624|18630|18637|18648|18651|18652|19074|19084|19191|20078|20080|20081|20082|20084|20085|20090|20091|20529|20593|20633|20634|20635|20636|20637|20638|20715|20761|20782|20882|20884|20887|21475|21477|21478|21621|21626|21627|21632|22084|22298|22592|22593|22594|22595|22780|22781|22804|22806|22824|22831|22974|22977|23022|23584|23636|23686|23691|23701|23702|23807|23865|23898|23909|23910
foutains with brick look,13518|15746|16368|23955|23956|26279|29253|34074|35682|38630|38631|38632|38633|38634|38635|38636|38637
living curtains pearl,101|102|103|447|466|475|476|565|566|581|813|867|898|899|903|958|1481|1482|1483|1511|1653|1654|1655|1656|1657|1792|1842|2355|2467|2537|2552|2587|2623|2667|2670|2715|2836|3165|3166|3167|3168|3169|3170|3175|3176|3177|3178|3179|3205|3240|3241|3341|3350|3351|3352|3353|3354|3355|3375|3420|3454|3460|3461|3523|3524|3567|3568|3569|3614|3682|3990|3991|3992|3994|3995|4435|4498|4539|4541|4600|4824|4825|4826|4827|5216|5217|6300|6323|6330|6581|6651|6652|6653|6654|6655|6656|6657|6658|6659|6660|6661|7024|7025|7146|7175|7214|7223|7342|7343|7662|7678|8068|8069|8123|8382|8680|8682|8732|8733|8734|8735|8736|8955|9218|9321|9327|9353|9437|9443|9473|9474|9475|9476|9477|9478|9479|9480|9738|9994|10327|10328|10332|10333|10788|11428|11493|11494|11495|11598|11941|11942|12000|12001|12002|12003|12004|12005|12006|12007|12008|12009|12010|12011|12012|12013|12014|12015|12016|12017|12018|12019|12020|12021|12022|12023|12074|12075|12076|12077|12078|12079|12080|12081|12082|12083|12084|12085|12086|12100|12108|12128|12129|12134|12309|12310|12311|12312|12313|12314|12349
light and navy blue decorative pillow,199|201|524|525|529|530|531|532|533|534|535|786|806|857|881|927|962|1497|1506|1738|1851|1854|1855|1884|1923|1954|2020|2041|2298|2299|2300|2301|2302|2303|2304|2305|2306|2307|2308|2309|2311|2709|2725|2746|2841|2897|2899|2900|2901|3076|3077|3237|3255|3378|3398|3401|3411|3418|3468|3474|3596|3627|3634|3641|3831|3836|3850|3851|3852|3853|3854|3855|3862|3905|3906|3907|3908|3954|3955|3956|4148|4149|4150|4155|4177|4178|4179|4187|4197|4199|4388|4390|4422|4427|4461|4474|4655|4686|4852|5112|5113|5213|5215|5228|5230|5536|5967|5968|5969|5970|5971|5972|5983|5998|6249|6266|6297|6560|6767|6768|6769|6770|6771|6861|6874|6998|7002|7149|7165|7189|7190|7191|7423|7424|7425|7499|7900|7901|8032|8033|8261|8274|8296|8297|9039|9040|9041|9042|9043|9044|9045|9047|9048|9049|9050|9051|9052|9053|9054|9055|9056|9057|9058|9059|9060|9061|9062|9156|9157|9158|9159|9160|9161|9283|9481|9510|9511|9512|9513|9531|9532|9533|9534|9535|9536|9537|9538|9539|9540|9541|9542|9543|9544|9545|9546|9549|9550|9551|9552|9553
stoneford end tables white and wood,307|469|546|559|597|638|700|719|720|721|749|957|1035|1039|1040|1093|1112|1159|1256|1260|1267|1268|1276|1334|1342|1349|1369|1370|1471|1525|1560|1605|1607|1642|1679|1729|1747|1796|1836|1863|1867|1903|1911|1930|1933|1950|1962|1966|2166|2174|2176|2234|2284|2356|2461|2509|2571|2580|2592|2714|2722|2723|2724|2827|2854|2855|3078|3120|3171|3234|3313|3360|3481|3505|3513|3522|3528|3533|3559|3560|3581|3658|3702|3703|3712|3713|3838|3998|4012|4015|4042|4159|4161|4162|4169|4364|4365|4400|4430|4433|4447|4559|4588|4618|4719|4720|4794|4893|4942|4943|4958|4982|5018|5042|5055|5122|5131|5148|5190|5287|5294|5303|5339|5343|5345|5346|5351|5357|5378|5406|5420|5430|5562|5833|5883|5964|6172|6382|6486|6615|6778|6794|6804|6835|6907|7140|7141|7142|7208|7209|7212|7217|7344|7481|7525|7573|7592|7643|7659|7934|7948|8089|8106|8283|8398|8399|8428|8646|8659|8660|8666|8671|8804|8836|8866|8889|8924|8931|8944|8983|8986|9174|9262|9288|9442|9494|9888|9915|9936|9946|9950|10289|10290|10698|10718|10727|10731|11113|11270|11492
wood coffee table set by storage,876|1106|1107|1108|1109|1110|1129|1136|1422|1722|1755|1785|1928|2071|2444|2579|2628|3512|3714|4366|5690|5696|5803|7736|7914|8250|8310|8904|9342|9425|10376|10729|11640|12112|12249|12250|13738|13739|14082|14532|14537|14539|14705|14740|16539|16551|16554|16555|16556|16564|16580|16585|16592|16602|16605|16615|16621|16623|16624|16635|16636|16637|16638|16639|16640|16641|16799|16800|16911|17124|17125|17336|17483|17940|18673|19753|20336|21763|22666|22941|22944|23523|23756|24119|24120|24131|24178|24256|24489|24721|24849|25001|25608|25649|25889|26364|26504|26505|26507|26508|26509|26519|26520|26760|28095|28096|28257|28258|28584|28806|29309|29955|29960|29976|31404|31533|31615|32157|32461|34233|34248|34413|34417|34421|34503|34786|35697|37318|38257|38836|38976|39725|40196|40337|40338|40573|40979|41326|41328|42341|42385|42388|42681
sunflower,689|729|730|731|732|733|734|789|801|926|1350|1384|1385|1386|1421|1437|1658|1659|2452|2730|2731|2732|2735|2767|2777|2946|2947|3243|3244|3246|3252|3267|3400|3606|3832|3833|3864|4151|4194|4195|4360|4379|4471|4520|4619|4620|4631|4649|4677|4695|4697|4848|4850|4856|4872|5231|5677|5678|5801|5813|6074|6242|6243|6311|6348|6349|6350|6351|6525|6526|6527|6538|6649|6650|6732|6733|6736|6737|6738|6739|6740|6741|6742|6743|6744|7116|7227|7328|7381|7922|7977|8071|8072|8093|8111|8152|8153|8154|8155|8244|8246|8582|8583|8991|9354|9461|9572|9573|9688|9689|9690|9691|9692|9953|9954|10306|10704|11001|11156|11157|11158|11163|11304|11476|11616|11645|11747|11748|11749|11785|12142|12143|12149|12150|12151|12152|12153|12154|12155|12159|12165|12166|12167|12170|12171|12172|12173|12174|12175|12176|12177|12178|12179|12180|12181|12182|12183|12184|12185|12186|12187|12188|12189|12190|12191|12192|12198|12199|12205|12209|12213|12214|12246|12264|12971|13451|13452|13453|13454|13455|13456|13457|13459|13460|13461|13462|13463|13464|13465|13466|13467|13468|13469|13470|13471|13474|13475|13476|13477|13478
leather chairs,130|215|304|351|352|354|355|356|359|360|361|362|363|364|365|366|367|368|373|375|378|382|385|401|403|474|485|491|492|504|562|580|584|585|586|637|655|656|657|658|746|748|826|1073|1113|1116|1117|1133|1137|1140|1141|1142|1143|1150|1151|1154|1163|1164|1167|1230|1239|1240|1241|1253|1254|1255|1294|1331|1343|1345|1346|1390|1391|1460|1462|1465|1469|1473|1476|1478|1490|1514|1516|1517|1518|1527|1541|1543|1562|1572|1587|1598|1604|1687|1688|1691|1694|1696|1709|1715|1720|1810|1841|1964|2205|2265|2287|2323|2419|2443|2475|2476|2482|2516|2539|2544|2565|2607|2665|2666|2801|2838|2932|2957|3092|3097|3235|3279|3368|3547|3611|3877|3879|3943|4008|4043|4044|4182|4277|4307|4348|4352|4519|4584|4635|4742|4743|4744|4745|4746|4747|4748|4752|4753|4754|4780|4781|4782|4851|4883|4889|4890|4945|4946|4956|4957|4960|4971|5012|5029|5031|5052|5098|5102|5174|5177|5208|5261|5385|5423|5480|5481|5482|5483|5484|5485|5568|5569|5577|5580|5636|5648|5769|5809|5850|5989|6022|6154|6287|6334
rooster decor,39|42|44|45|46|47|107|767|787|800|808|830|831|832|833|846|864|911|917|918|919|920|948|952|959|1174|1583|1584|1585|1586|2590|2697|2718|3261|3264|3265|3531|3663|3746|3747|3755|3765|4374|4375|4384|4412|4413|4428|4470|4537|4629|4927|4962|4989|5024|5095|5121|5155|5348|5349|5360|5361|5362|5363|5637|6140|6141|6161|6162|6163|6165|6166|6302|6303|6307|6315|6320|6359|6388|6426|6433|6438|7078|7630|7640|7941|7942|7950|7953|7955|7980|8054|8076|8304|8940|9245|9495|9604|9656|9665|9667|9668|9669|9804|9805|9806|10255|10270|10274|11210|11211|11212|11326|11327|11513|11544|11698|11705|11706|11709|11713|11715|11719|11720|11721|11722|11723|11725|11726|11729|11730|11735|11739|11743|11745|12368|12402|12909|13009|13010|13013|13014|13015|13016|13049|13486|13642|13742|13954|14113|14114|14455|15161|15162|15381|15867|17323|17324|17680|17813|17814|17815|17819|18423|18424|18444|18455|18733|19992|20268|21202|21203|21204|21205|21206|21333|21334|24359|24361|24366|24367|25024|25478|25479|25482|25485|25535|25780|25781|25784|25785|25786|25787|26235|26245|26671|26708|26713|26868|26873
